strength_mean_core,radius_m,core_count,border_count,encounters,core_fraction,radius_p80_m,strength_p95_core,strength_mean_all,strength_p95_all,eps_km,min_samples,method,center_estimator,strength_min,wp_id,lat,lon
3.4,1128.7,4,2,6,0.7,748.9,4.5,3.2,4.4,1.0,5,dbscan,median,2.0,86,-32.63801293082292,117.56604616126376
3.2,1232.5,6,1,7,0.9,348.6,4.5,3.1,4.4,1.0,5,dbscan,median,2.0,87,-31.654087975535685,116.87745686507935
4.3,797.7,2,3,4,0.4,775.4,4.4,4.2,5.5,1.0,5,dbscan,median,2.0,88,-32.678885593741214,117.44878814265016
3.9,983.6,3,3,6,0.5,728.7,4.4,4.2,5.6,1.0,5,dbscan,median,2.0,89,-30.501764264705884,116.94641786678292
3.2,1223.1,5,3,8,0.6,1161.0,4.4,3.3,4.3,1.0,5,dbscan,median,2.0,90,-31.842656988960115,117.4648607159942
3.3,1183.6,3,3,6,0.5,785.3,4.4,3.5,5.3,1.0,5,dbscan,median,2.0,91,-31.777254576520463,117.46629256812368
3.2,1111.9,4,2,6,0.7,776.6,4.4,3.3,4.6,1.0,5,dbscan,median,2.0,92,-31.549782358223524,116.9004488804876
3.5,1095.1,3,4,7,0.4,1028.6,4.4,3.0,4.2,1.0,5,dbscan,median,2.0,93,-31.71342552478306,116.96859012451064
3.0,1340.8,5,3,8,0.6,1173.1,4.4,3.1,4.2,1.0,5,dbscan,median,2.0,94,-32.74233362099253,117.1582152285167
3.3,2393.6,9,5,13,0.6,1447.1,4.4,3.2,4.3,1.0,5,dbscan,median,2.0,95,-32.70492399470899,117.05949584104935
3.4,953.9,4,3,7,0.6,720.1,4.3,2.9,4.3,1.0,5,dbscan,median,2.0,96,-31.929565155523537,117.29922827471691
3.7,1388.6,2,4,6,0.3,1293.8,4.3,3.6,4.5,1.0,5,dbscan,median,2.0,97,-30.91521216866296,116.79767503659907
3.2,440.3,5,0,5,1.0,351.0,4.3,3.2,4.3,1.0,5,dbscan,median,2.0,98,-31.55551008230452,117.79837353896104
3.1,1990.4,11,5,15,0.7,1606.4,4.3,3.1,4.3,1.0,5,dbscan,median,2.0,99,-31.66868615162037,117.77318576388888
3.6,965.9,4,2,6,0.7,903.2,4.3,3.5,4.3,1.0,5,dbscan,median,2.0,100,-31.276935325103295,116.8654308170656
3.3,1423.1,6,5,11,0.5,1310.5,4.3,3.1,4.3,1.0,5,dbscan,median,2.0,101,-31.802506849140517,117.18158970285265
3.7,1823.0,6,3,8,0.7,1482.3,4.3,3.6,4.5,1.0,5,dbscan,median,2.0,102,-31.6576919262819,117.91170959390095
3.3,887.2,2,4,6,0.3,749.2,4.3,3.6,6.0,1.0,5,dbscan,median,2.0,103,-32.65338539938071,117.13241742198772
4.3,999.4,1,4,4,0.2,927.1,4.3,3.7,4.3,1.0,5,dbscan,median,2.0,104,-30.92839949018959,116.74938446318342
3.0,6109.7,55,11,60,0.8,3574.5,4.3,3.0,4.3,1.0,5,dbscan,median,2.0,105,-32.3742544007123,116.99778209325396
3.1,2470.2,13,7,20,0.6,1684.9,4.3,3.1,4.4,1.0,5,dbscan,median,2.0,106,-31.9880724047619,117.0896101948052
3.3,3003.4,15,4,18,0.8,1632.7,4.3,3.3,4.3,1.0,5,dbscan,median,2.0,107,-31.820053006365743,117.58949122467428
3.3,2209.4,12,4,13,0.8,1596.6,4.3,3.3,4.2,1.0,5,dbscan,median,2.0,108,-31.93103565896739,117.06662547549124
3.2,3819.5,25,11,35,0.7,2161.1,4.3,3.2,4.7,1.0,5,dbscan,median,2.0,109,-31.844425948914793,116.98245465713256
3.2,3026.4,21,6,26,0.8,1935.6,4.3,3.4,4.9,1.0,5,dbscan,median,2.0,110,-31.88428808784859,117.05441408730158
3.4,1531.3,3,5,8,0.4,1012.6,4.3,3.1,4.1,1.0,5,dbscan,median,2.0,111,-32.826900956221195,116.89459470760907
3.1,1820.4,10,4,14,0.7,1385.3,4.3,3.0,4.2,1.0,5,dbscan,median,2.0,112,-32.0179419029723,117.40540251342203
3.5,1017.2,4,4,8,0.5,968.5,4.3,3.4,4.2,1.0,5,dbscan,median,2.0,113,-32.25111182859849,117.22257342983514
4.3,957.5,1,4,5,0.2,933.6,4.3,3.3,4.1,1.0,5,dbscan,median,2.0,114,-32.51336567460317,117.06648683862431
3.0,1990.4,10,6,16,0.6,1614.9,4.3,3.2,5.0,1.0,5,dbscan,median,2.0,115,-31.728977514151495,117.14837291894034
3.0,2086.0,6,6,11,0.5,1493.5,4.3,2.9,3.9,1.0,5,dbscan,median,2.0,116,-31.903615604052135,117.11593897648231
3.0,1818.3,13,3,14,0.8,1124.3,4.2,3.1,4.2,1.0,5,dbscan,median,2.0,117,-33.01980286464307,116.87371065784832
3.2,2170.0,8,7,13,0.5,1581.2,4.2,3.2,4.0,1.0,5,dbscan,median,2.0,118,-31.64434891850309,117.09316713770843
3.5,1192.1,8,2,10,0.8,931.1,4.2,3.7,5.2,1.0,5,dbscan,median,2.0,119,-32.7905973725166,117.06932242510577
3.2,2327.4,6,8,14,0.4,1799.9,4.2,3.2,4.2,1.0,5,dbscan,median,2.0,120,-32.510695097489204,116.8912467006655
4.2,898.3,2,4,6,0.3,801.9,4.2,3.7,4.2,1.0,5,dbscan,median,2.0,121,-31.713703101761514,116.9209676532192
3.0,4767.7,25,11,32,0.7,2705.6,4.2,3.0,4.3,1.0,5,dbscan,median,2.0,122,-31.563295368999757,117.22264525887216
3.2,1428.3,5,1,5,0.8,672.4,4.2,3.3,4.4,1.0,5,dbscan,median,2.0,123,-31.53861432491987,117.2444536888172
3.0,2603.7,31,5,36,0.9,1827.3,4.2,3.1,4.5,1.0,5,dbscan,median,2.0,124,-31.64381317445286,116.98829764993684
3.4,1836.1,8,5,12,0.6,1321.2,4.2,3.2,4.1,1.0,5,dbscan,median,2.0,125,-31.697396709377863,116.88943718967707
3.3,861.9,6,0,6,1.0,828.3,4.2,3.3,4.2,1.0,5,dbscan,median,2.0,126,-31.70700548828814,117.30246354519463
3.2,1444.3,5,4,8,0.6,1125.2,4.2,3.2,4.2,1.0,5,dbscan,median,2.0,127,-31.34664870580808,117.41703622023807
4.2,905.5,1,3,4,0.2,844.2,4.2,3.2,4.2,1.0,5,dbscan,median,2.0,128,-31.29721793819601,116.80818254835712
3.4,2475.9,12,5,15,0.7,1480.9,4.2,3.3,4.1,1.0,5,dbscan,median,2.0,129,-31.55772603448244,117.30559250126872
3.2,2336.1,12,5,15,0.7,1583.7,4.2,3.3,4.2,1.0,5,dbscan,median,2.0,130,-31.674429552740392,116.9907135323271
3.4,1365.3,5,2,7,0.7,1091.7,4.2,4.4,7.4,1.0,5,dbscan,median,2.0,131,-30.898072907283847,116.72121452659768
3.8,1276.5,2,4,5,0.3,917.9,4.2,3.7,4.6,1.0,5,dbscan,median,2.0,132,-31.36702462872485,117.30717194263093
3.0,2248.5,8,3,11,0.7,1328.9,4.2,3.0,4.0,1.0,5,dbscan,median,2.0,133,-31.825703362141333,117.07859985490877
3.7,1571.3,4,6,10,0.4,1343.9,4.2,3.4,4.2,1.0,5,dbscan,median,2.0,134,-31.458897699951258,117.24558924013229
3.4,1618.6,5,5,10,0.5,1515.1,4.2,3.1,4.1,1.0,5,dbscan,median,2.0,135,-31.747570750661374,117.2738369694368
3.6,1006.1,2,5,7,0.3,957.1,4.1,4.2,7.6,1.0,5,dbscan,median,2.0,136,-31.99949789858904,117.05836778486054
3.7,669.7,2,4,6,0.3,669.2,4.1,3.4,4.0,1.0,5,dbscan,median,2.0,137,-31.306127366759185,117.41333731656985
3.4,1735.5,6,5,10,0.5,1151.6,4.1,3.4,4.3,1.0,5,dbscan,median,2.0,138,-32.12289182899915,117.1302938382004
3.2,2876.7,9,6,15,0.6,2385.8,4.1,3.1,4.1,1.0,5,dbscan,median,2.0,139,-31.93393970315904,117.45761520687644
3.2,932.4,4,2,6,0.7,854.4,4.1,3.0,4.1,1.0,5,dbscan,median,2.0,140,-32.98285887120186,116.89410701433985
3.3,1381.2,6,3,9,0.7,981.5,4.1,3.2,4.1,1.0,5,dbscan,median,2.0,141,-32.18014637325637,117.14968737808168
3.6,1314.7,3,4,7,0.4,1210.9,4.1,4.4,7.1,1.0,5,dbscan,median,2.0,142,-31.401603667114696,116.83932543275142
3.3,1176.9,3,5,8,0.4,1125.1,4.1,3.4,4.1,1.0,5,dbscan,median,2.0,143,-31.63110996081059,117.73898243641511
3.3,947.8,5,1,6,0.8,467.3,4.1,3.2,4.1,1.0,5,dbscan,median,2.0,144,-31.89690455357143,117.49234806112504
4.1,821.8,1,3,4,0.2,798.3,4.1,3.9,5.4,1.0,5,dbscan,median,2.0,145,-31.24220689153439,117.05655020282188
3.0,1470.2,5,2,5,0.7,977.4,4.1,3.0,4.2,1.0,5,dbscan,median,2.0,146,-31.771013447971782,117.50740016534392
2.8,1442.3,8,2,10,0.8,745.6,4.1,3.0,4.7,1.0,5,dbscan,median,2.0,147,-32.9117017380668,117.1756403983043
3.1,2698.6,21,7,26,0.8,1998.3,4.1,2.9,4.0,1.0,5,dbscan,median,2.0,148,-31.686702484161792,117.1671037825416
2.9,1207.9,8,1,9,0.9,863.3,4.1,3.0,4.2,1.0,5,dbscan,median,2.0,149,-31.401609426272568,116.99305892746914
3.1,1609.9,6,4,9,0.6,1482.1,4.1,2.9,4.0,1.0,5,dbscan,median,2.0,150,-31.65156862538457,116.83332581921276
3.0,1524.0,7,2,9,0.8,921.6,4.1,2.8,4.0,1.0,5,dbscan,median,2.0,151,-31.921565707671956,117.01040038556864
3.1,2109.5,8,4,12,0.7,1216.4,4.1,3.2,4.3,1.0,5,dbscan,median,2.0,152,-32.76969287985008,117.07144339512766
3.2,2453.4,7,5,11,0.6,1604.2,4.1,3.8,6.3,1.0,5,dbscan,median,2.0,153,-31.68765023133117,117.2832663284632
2.9,1854.8,10,5,13,0.7,1406.4,4.1,2.8,3.8,1.0,5,dbscan,median,2.0,154,-31.583255514294734,117.60136124477935
3.3,1544.5,7,3,10,0.7,1151.2,4.1,3.1,4.0,1.0,5,dbscan,median,2.0,155,-31.36082576046156,117.0638674524872
3.1,1266.8,5,3,8,0.6,1034.7,4.1,2.9,4.1,1.0,5,dbscan,median,2.0,156,-31.98105798611111,117.32301935763888
3.4,1372.2,5,1,6,0.8,541.5,4.1,3.3,4.0,1.0,5,dbscan,median,2.0,157,-30.858904074074076,116.79097421296296
2.9,2266.0,16,4,18,0.8,1542.0,4.1,3.2,4.5,1.0,5,dbscan,median,2.0,158,-31.780826012092653,117.14303098183805
2.9,1336.2,5,2,7,0.7,990.9,4.1,3.1,4.4,1.0,5,dbscan,median,2.0,159,-31.64987845300834,117.1712571470329
3.3,2462.7,14,4,17,0.8,1620.0,4.1,3.3,4.2,1.0,5,dbscan,median,2.0,160,-31.30451441857993,116.82452391699736
3.2,1331.3,3,5,8,0.4,951.2,4.0,3.4,4.0,1.0,5,dbscan,median,2.0,161,-31.422499022370214,117.16300835667602
3.1,1241.4,4,2,6,0.7,523.0,4.0,3.0,4.0,1.0,5,dbscan,median,2.0,162,-32.01526481842423,117.04528668614498
2.9,3160.8,18,7,23,0.7,1806.5,4.0,3.2,6.5,1.0,5,dbscan,median,2.0,163,-32.45686345857132,117.03338378566706
3.0,1817.6,5,3,8,0.6,963.1,4.0,3.3,5.5,1.0,5,dbscan,median,2.0,164,-32.826418222728805,117.11916020864362
3.4,1370.8,3,3,6,0.5,1204.4,4.0,3.4,4.1,1.0,5,dbscan,median,2.0,165,-32.36160501054122,116.94086547382764
4.0,919.2,1,3,4,0.2,812.8,4.0,3.6,4.3,1.0,5,dbscan,median,2.0,166,-32.079888808963986,117.17544476851046
4.0,960.2,1,4,5,0.2,832.0,4.0,3.8,4.3,1.0,5,dbscan,median,2.0,167,-31.2617239994838,117.37611577944313
3.1,2162.2,6,5,11,0.5,1339.7,4.0,3.0,3.9,1.0,5,dbscan,median,2.0,168,-32.1420095179958,117.06778667363115
4.0,956.4,1,2,3,0.3,840.9,4.0,3.6,4.2,1.0,5,dbscan,median,2.0,169,-31.7919215625,116.9946990327381
3.7,983.8,2,3,5,0.4,474.1,4.0,4.0,4.8,1.0,5,dbscan,median,2.0,170,-32.06079876921202,117.11427652198476
3.4,895.9,2,4,6,0.3,817.6,4.0,3.9,7.3,1.0,5,dbscan,median,2.0,171,-31.65389351632177,117.48505473140213
3.0,2219.8,10,3,12,0.8,1368.9,4.0,3.0,3.9,1.0,5,dbscan,median,2.0,172,-31.596040438808373,117.79682694167674
3.1,1676.7,9,5,12,0.6,1334.4,4.0,3.1,4.2,1.0,5,dbscan,median,2.0,173,-31.33789876986382,116.8336576810516
4.0,846.2,1,4,5,0.2,654.5,4.0,3.4,3.9,1.0,5,dbscan,median,2.0,174,-32.485064787903454,117.6834244736827
3.1,1068.4,4,5,8,0.4,974.7,4.0,3.2,4.1,1.0,5,dbscan,median,2.0,175,-31.558539687224442,117.7415135619542
3.0,979.9,8,1,9,0.9,801.0,4.0,2.9,4.0,1.0,5,dbscan,median,2.0,176,-31.446088537992583,117.03795729729683
3.0,1172.5,5,2,7,0.7,839.7,4.0,3.1,4.0,1.0,5,dbscan,median,2.0,177,-31.40013738173507,117.42566702946326
3.1,2243.4,17,6,20,0.7,1816.1,4.0,3.4,5.4,1.0,5,dbscan,median,2.0,178,-31.803960975641836,116.97077300306503
4.0,906.8,1,4,5,0.2,851.1,4.0,4.1,5.6,1.0,5,dbscan,median,2.0,179,-31.31418180001851,117.33634054499598
4.0,909.1,1,4,4,0.2,826.9,4.0,3.8,4.5,1.0,5,dbscan,median,2.0,180,-32.54368638492064,117.03898604563491
3.5,912.2,2,4,6,0.3,896.0,4.0,3.4,4.1,1.0,5,dbscan,median,2.0,181,-31.658762081113768,117.74760649418178
3.4,1116.3,4,3,7,0.6,982.2,3.9,3.1,3.8,1.0,5,dbscan,median,2.0,182,-31.712615604955676,117.74356138182696
3.4,1604.8,3,3,6,0.5,812.3,3.9,3.2,3.9,1.0,5,dbscan,median,2.0,183,-31.39456141219707,117.5002199404762
3.2,1489.1,6,2,7,0.8,947.5,3.9,3.2,3.9,1.0,5,dbscan,median,2.0,184,-32.957484266970134,117.01527945740298
3.4,989.6,2,4,6,0.3,797.7,3.9,3.2,3.8,1.0,5,dbscan,median,2.0,185,-31.615361844127797,117.11803623327862
3.9,981.5,1,4,5,0.2,954.4,3.9,3.0,3.8,1.0,5,dbscan,median,2.0,186,-31.65365127081432,116.8989680149174
3.9,984.3,1,4,4,0.2,892.8,3.9,3.3,3.9,1.0,5,dbscan,median,2.0,187,-32.101201155847235,117.08684713606372
3.7,684.7,2,3,4,0.4,655.6,3.9,3.3,3.9,1.0,5,dbscan,median,2.0,188,-31.2079677548924,116.84755896057658
3.1,1993.6,11,3,14,0.8,1395.4,3.9,3.0,3.8,1.0,5,dbscan,median,2.0,189,-31.420675039682543,116.82837430555554
3.9,882.7,1,4,5,0.2,878.3,3.9,2.9,3.8,1.0,5,dbscan,median,2.0,190,-31.9353121865689,117.51956266557264
